,features,coef
3106,AKT1S1,3.36777411970401e-05
3107,KCNH4,3.366835283205149e-05
3108,AC016722.2,3.3657158662231126e-05
3109,CHPF2,3.365203578488289e-05
3110,FAM105B,3.364963500207607e-05
3111,PCDH8,3.362695946841241e-05
3112,TRMT1L,3.362332589404241e-05
3113,STOML1,3.361029354273885e-05
3114,PTK7,3.360123843747269e-05
3115,RP4-584D14.7,3.3601084969462285e-05
3116,RP11-143E21.6,3.3593038861148046e-05
3117,RAB11FIP3,3.3581153963955235e-05
3118,SCN1A,3.356774014890201e-05
3119,USP51,3.3567715035240814e-05
3120,CARD18,3.355265423938414e-05
3121,ALPL,3.355205341608619e-05
3122,LINC00184,3.354796662646826e-05
3123,SCARB2,3.354770326861065e-05
3124,DYNLT1,3.354104836634634e-05
3125,RP11-384O8.1,3.353982158967163e-05
3126,TSHR,3.351794092405566e-05
3127,PASD1,3.35143206856572e-05
3128,CLDN9,3.3510291994040244e-05
3129,ADORA2B,3.349719288607004e-05
3130,PLBD2,3.3495966499362974e-05
3131,CMAS,3.347937856928334e-05
3132,PIGK,3.347726351515499e-05
3133,LAMTOR5-AS1,3.346531365964832e-05
3134,ZIC1,3.346150759388763e-05
3135,CXCR7,3.344386154800672e-05
3136,CD160,3.344040516817835e-05
3137,GABRP,3.342369331696141e-05
3138,GTSF1L,3.341585471429382e-05
3139,TBX18,3.340642252348235e-05
3140,EXOC6B,3.340085833494777e-05
3141,GP2,3.3393692615556634e-05
3142,HES7,3.3387385413244136e-05
3143,SAMHD1,3.337155681101355e-05
3144,ARSI,3.3365756990408294e-05
3145,ITGA11,3.336440873842656e-05
3146,CD46,3.3362206506163295e-05
3147,IFI27L2,3.335931431421054e-05
3148,RP4-613A2.1,3.335789082537797e-05
3149,RALGAPB,3.3352123828650955e-05
3150,CFLAR-AS1,3.334919608203209e-05
3151,CA5B,3.334526499748729e-05
3152,PPAPDC1B,3.334017934378897e-05
3153,SLC29A4,3.332510131022267e-05
3154,RP4-612B15.3,3.332427516393042e-05
3155,ITIH6,3.332178293850755e-05
3156,IGF2,3.331991999975811e-05
3157,C9orf163,3.331581638869447e-05
